Giá nhà,Địa chỉ,Diện tích,Số phòng ngủ,Tổng số tầng,Loại hình nhà ở,Giấy tờ pháp lý,url
"2,9 tỷ","Ðỗ Quang Ðẩu, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh",25 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-1-tp-ho-chi-minh/110816149.htm
"1,78 tỷ","Đường Số 27, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",17 m²,1 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/103761160.htm
"9,28 tỷ","Nguyễn Thái Sơn, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",55 m²,4 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110583327.htm#px=SR-special_display_ad-[PO-8][PL-default]
"5,6 tỷ","Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",60 m²,4 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/104644117.htm
12 tỷ,"442, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",110 m²,4 phòng,4,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110816140.htm#px=SR-special_display_ad-[PO-5][PL-default]
"6,6 tỷ","1/, Lê Văn Sỹ , Quận 3, Phường 14, Quận 3, Tp Hồ Chí Minh",36 m²,3 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/109936072.htm
600 triệu,"Đường Bờ Bao, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",16 m²,1 phòng,2,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/106311535.htm
"3,75 tỷ","Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",36 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/109916122.htm
"5,4 tỷ","110/46/11 tô hiệu, 110/46 Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",73 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110413268.htm
"3,25 tỷ","Lê Hồng Phong, Phường 2, Quận 10, Tp Hồ Chí Minh",36.4 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110076933.htm
"3,05 tỷ","Đường Võ Oanh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",67.5 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/108180149.htm
"2,15 tỷ","Quách Điêu, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",64 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110498834.htm
"1,45 tỷ","Đường Linh Hòa, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh",45 m²,2 phòng,2,"Nhà ngõ, hẻm",Đang chờ sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110223012.htm
24 tỷ,"Đường Số, Phường Phước Long A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",448 m²,10 phòng,6,Nhà biệt thự,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/109965027.htm
850 triệu,"Đường Đa Phước, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh",44 m²,2 phòng,2,"Nhà ngõ, hẻm",Đang chờ sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/107616913.htm
"1,99 tỷ","Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",37 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110248032.htm
"5,9 tỷ","122/24A, Đường Số 11, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",79 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110627113.htm
"4,8 tỷ","Đường Tân Liêm, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",90 m²,3 phòng,3,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110363100.htm
"4,7 tỷ","Đường Quốc Lô 50, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",52 m²,4 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/106936574.htm
"7,25 tỷ","292/19, Bình Trị Đông, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",55 m²,5 phòng,4,,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/104749202.htm
550 triệu,"Đường Đa Phước, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh",27 m²,3 phòng,2,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/109905724.htm
"1,46 tỷ","Đường Nguyễn Thị Tần, Phường 2, Quận 8, Tp Hồ Chí Minh",62 m²,3 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/110512180.htm
"1,1 tỷ","Đường Ngã Ba Chú Lường, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh",48 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/106987407.htm
"7,98 tỷ","Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",90 m²,4 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/109997873.htm
"4,2 tỷ","Đường Quốc Lô 50, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",50 m²,4 phòng,3,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110362880.htm
25 tỷ,"Đường Số 14, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",107.5 m²,6 phòng,4,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110700125.htm
"4,6 tỷ","Đường Thạch Lam, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",23 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110488255.htm
"1,4 tỷ","Đường Liên Ấp 1-2, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh",28 m²,3 phòng,3,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/106225494.htm
19 tỷ,"Đường Tạ Quang Bửu, Phường 4, Quận 8, Tp Hồ Chí Minh",80 m²,9 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/110329308.htm
"1,8 tỷ","Quốc Lô 50, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",33 m²,1 phòng,2,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/106245548.htm
"1,9 tỷ","Đường Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",21 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110533564.htm
650 triệu,"239/, Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",8 m²,1 phòng,2,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-6-tp-ho-chi-minh/110816106.htm
"4,5 tỷ","Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",100 m²,3 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/110816096.htm
"4,35 tỷ","Lê Văn Thọ, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",40 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110536865.htm
"5,2 tỷ","LÊ ĐỨC THỌ, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",75 m²,3 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110816061.htm
"3,5 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",73 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110260401.htm
3 tỷ,"Đường số 10, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",39 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110380799.htm
150 triệu,"Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh",91 m²,2 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/110579456.htm
"1,6 tỷ","Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",63 m²,2 phòng,2,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110307632.htm
"2,6 tỷ","Lê Trọng Tấn, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",40 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/107960942.htm
"26,8 tỷ","C18, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",145 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/110738427.htm#px=SR-special_display_ad-[PO-2][PL-default]
18 tỷ,"18, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",120 m²,1 phòng,1,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110816042.htm
"17,8 tỷ","Phan Văn Trị, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",128 m²,4 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110816038.htm#px=SR-special_display_ad-[PO-6][PL-default]
"1,52 tỷ","Hẻm 1942 Dương Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",18 m²,2 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-nha-be-tp-ho-chi-minh/109621733.htm
"11,5 tỷ","Đường D13, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",105 m²,6 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/106083196.htm
"2,45 tỷ","Lê Hồng Phong, Phường 2, Quận 10, Tp Hồ Chí Minh",15 m²,1 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110816013.htm
"2,97 tỷ","Đường Số 8, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",40 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110731618.htm
"5,1 tỷ","Mặt Tiền đường Đông Thạnh 4, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh",83.3 m²,2 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/109609753.htm
"4,4 tỷ","Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",33 m²,2 phòng,1,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-1-tp-ho-chi-minh/107900753.htm
"7,5 tỷ","Nguyễn Thái Bình, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",80 m²,5 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/109485291.htm
"4,05 tỷ","Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",41 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110510765.htm
"2,85 tỷ","Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",45 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/109518868.htm
580 triệu,"Hương lộ 2, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh",84 m²,2 phòng,1,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-cu-chi-tp-ho-chi-minh/108930392.htm
9 tỷ,"Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh",102 m²,5 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110609889.htm
"3,3 tỷ","Lê Văn Khương, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",68 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/109198537.htm
710 triệu,"Nguyễn Văn Khạ, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh",95 m²,3 phòng,1,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-cu-chi-tp-ho-chi-minh/110815931.htm
"3,75 tỷ","Đường Đông Thạnh 4, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh",67.4 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/110815919.htm
"3,75 tỷ","Đường Đông Thạnh 4, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh",67.4 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/110815919.htm
560 triệu,"Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",15 m²,1 phòng,1,"Nhà ngõ, hẻm",Giấy tờ khác,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/108394379.htm
"4,95 tỷ","Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",32 m²,5 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110507797.htm
"2,95 tỷ","Hẻm 54 Đình Nghi Xuân, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",31 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110666641.htm
17 tỷ,"Hồng Bàng, Phường 6, Quận 6, Tp Hồ Chí Minh",81.8 m²,5 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-quan-6-tp-ho-chi-minh/110815901.htm
10 tỷ,"Đoàn Thị Điểm, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh",90 m²,5 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-quan-phu-nhuan-tp-ho-chi-minh/110609063.htm
"4,6 tỷ","305F, Dương Bá Trạc, Phường 1, Quận 8, Tp Hồ Chí Minh",46.3 m²,2 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/110309268.htm
7 tỷ,"Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",92.4 m²,5 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/109216196.htm
"8,5 tỷ","Trần Văn Giáp, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",65 m²,2 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110815882.htm
"4,35 tỷ","Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",57 m²,4 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110183204.htm
"17,8 tỷ","Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",237.6 m²,4 phòng,4,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110367206.htm
"9,13 tỷ","Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",83 m²,1 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/102714404.htm
"5,6 tỷ","Đường Hòa Bình, Phường 5, Quận 11, Tp Hồ Chí Minh",35 m²,5 phòng,5,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-11-tp-ho-chi-minh/100850610.htm
"10,48 tỷ","Giang Cự Vọng, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",150 m²,6 phòng,,Nhà biệt thự,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/107658663.htm
4 tỷ,"Khu Tái Thiết Hoàng Diệu, Phường 8, Quận 4, Tp Hồ Chí Minh",21 m²,2 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-4-tp-ho-chi-minh/97129266.htm
6 tỷ,"Lam Sơn, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh",48 m²,4 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110676902.htm
"5,6 tỷ","Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh",35 m²,4 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-phu-nhuan-tp-ho-chi-minh/106962618.htm
"2,38 tỷ","Đường số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",21 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/109741468.htm
"3,5 tỷ","Đường Số 6, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",60 m²,2 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110341776.htm
"5,45 tỷ","68, Phường 10, Quận 6, Tp Hồ Chí Minh",40 m²,2 phòng,2,Nhà phố liền kề,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-6-tp-ho-chi-minh/110098715.htm#px=SR-special_display_ad-[PO-20][PL-default]
"6,5 tỷ","Trung Mỹ Tây 13, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",100 m²,2 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/109560321.htm#px=SR-special_display_ad-[PO-1][PL-default]
"7,45 tỷ","Cách Mạng Tháng Tám, Phường 4, Quận 3, Tp Hồ Chí Minh",36 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/109390760.htm
"2,999 tỷ","1172/40, phạm thế hiển, Phường 5, Quận 8, Tp Hồ Chí Minh",70.8 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/107947244.htm
590 triệu,"An Hạ, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh",320 m²,nhiều hơn 10 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110158030.htm
"3,9 tỷ","Đường Số 5, Phường Trường Thạnh (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",93 m²,3 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110152101.htm
27 tỷ,"44, Tân cảng, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",75 m²,3 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/109973675.htm
"4,6 tỷ","Đường số 22, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",47 m²,2 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/109855178.htm
"5,5 tỷ","Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",50 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/107275913.htm
"7,5 tỷ","1058 Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",78.5 m²,nhiều hơn 10 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110430952.htm
680 triệu,"Trần Thị Bàu, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh",210 m²,3 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-cu-chi-tp-ho-chi-minh/110815824.htm
"4,5 tỷ","Miếu Gò Xoài, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",86 m²,3 phòng,1,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110815811.htm#px=SR-special_display_ad-[PO-11][PL-default]
"6,8 tỷ","Đinh Tiên Hoàng, Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh",40 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110815779.htm
"4,2 tỷ","95/31 Đường số 4 - CX Đô Thành - P4 - Q3, Số 4 - CX đô thành, Phường 4, Quận 3, Tp Hồ Chí Minh",45 m²,2 phòng,1,,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/110668678.htm
"7,2 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",80 m²,4 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110545344.htm#px=SR-special_display_ad-[PO-13][PL-default]
"4,39 tỷ","Đường số 27, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",64 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/108245131.htm
"2,65 tỷ","Hẻm Ba Gác, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",30.5 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110384056.htm
19 tỷ,"Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",150 m²,nhiều hơn 10 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110815745.htm
"5,2 tỷ","Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",42 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/108075401.htm
"2,65 tỷ","Đường Lê Văn Lương, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",44 m²,2 phòng,2,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110772002.htm
"3,32 tỷ","Hẻm 86 Đường số 14, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",57.4 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110815702.htm
